Month,Year,Average percentage of yearly visitors
Jan,1991,0.07484548695340351
Feb,1991,0.08039740966523931
Mar,1991,0.07981099837576729
Apr,1991,0.07087560908726559
May,1991,0.0680912101588373
Jun,1991,0.07266015567321282
Jul,1991,0.08788153648195414
Aug,1991,0.0840846288522792
Sep,1991,0.08326196553251629
Oct,1991,0.09111312675343304
Nov,1991,0.0944417491087814
Dec,1991,0.1125361233573101
Jan,1992,0.07532507442619803
Feb,1992,0.09152021511572074
Mar,1992,0.08366464995678478
Apr,1992,0.07829828099491021
May,1992,0.06730817247671181
Jun,1992,0.06796888504753673
Jul,1992,0.08422548737155479
Aug,1992,0.07647363872082973
Sep,1992,0.07299337366753098
Oct,1992,0.08808988764044944
Nov,1992,0.09796984538557572
Dec,1992,0.11616248919619707
Jan,1993,0.08102181741722098
Feb,1993,0.08192294984029931
Mar,1993,0.08609152167890984
Apr,1993,0.07553492221892177
May,1993,0.07122617422561019
Jun,1993,0.06827913744939473
Jul,1993,0.08164259753089716
Aug,1993,0.08007729713673517
Sep,1993,0.07477062842305164
Oct,1993,0.08918540966481212
Nov,1993,0.09542324854900992
Dec,1993,0.11482429586513719
Jan,1994,0.07452412894551318
Feb,1994,0.09051292043084959
Mar,1994,0.09144101400171935
Apr,1994,0.07589247203076988
May,1994,0.06393731798805972
Jun,1994,0.06869677219764823
Jul,1994,0.08403708804692822
Aug,1994,0.07895637067819247
Sep,1994,0.07554741160057471
Oct,1994,0.08971273719186253
Nov,1994,0.09251189119887678
Dec,1994,0.11422987568900536
Jan,1995,0.08152836154188876
Feb,1995,0.08563215614280884
Mar,1995,0.08415328706164012
Apr,1995,0.07895174753477087
May,1995,0.06570634115443043
Jun,1995,0.07016978812717738
Jul,1995,0.08850132319865157
Aug,1995,0.08183433445523401
Sep,1995,0.07208346082204722
Oct,1995,0.0860642757835859
Nov,1995,0.0920414834855146
Dec,1995,0.11333344069225029
Jan,1996,0.07616397307933337
Feb,1996,0.09428716178091302
Mar,1996,0.08777068931985219
Apr,1996,0.0800032654394057
May,1996,0.06279007786632347
Jun,1996,0.07369568505797355
Jul,1996,0.08601311458090727
Aug,1996,0.07905244631833712
Sep,1996,0.07423112107817126
Oct,1996,0.08412348163070281
Nov,1996,0.09017654982316205
Dec,1996,0.11169243402491819
Jan,1997,0.07941165571993664
Feb,1997,0.09448155113157383
Mar,1997,0.09053053813445487
Apr,1997,0.07547685438224314
May,1997,0.06695415342714481
Jun,1997,0.07137298859625557
Jul,1997,0.09202664270429006
Aug,1997,0.07652598034220497
Sep,1997,0.07664409386087617
Oct,1997,0.08487498494631625
Nov,1997,0.0878810897940656
Dec,1997,0.1038194669606381
Jan,1998,0.08308436579869985
Feb,1998,0.08485533486433369
Mar,1998,0.08124380580772267
Apr,1998,0.08184852695208544
May,1998,0.06800713187000415
Jun,1998,0.07299608131099705
Jul,1998,0.0893403500183576
Aug,1998,0.07767307143148533
Sep,1998,0.07771626579893982
Oct,1998,0.08512889919154543
Nov,1998,0.08828688738988436
Dec,1998,0.1098192795659446
Jan,1999,0.07870353760045924
Feb,1999,0.089375089695752
Mar,1999,0.08723360361653272
Apr,1999,0.07492510404707232
May,1999,0.06685248636624569
Jun,1999,0.07109733783008036
Jul,1999,0.08710802956371987
Aug,1999,0.07974176592996556
Sep,1999,0.07918565226750861
Oct,1999,0.0890185490815155
Nov,1999,0.09343382247416762
Dec,1999,0.10332502152698048
Jan,2000,0.07316440089549334
Feb,2000,0.08812781869504559
Mar,2000,0.083518542552156
Apr,2000,0.08225317153888582
May,2000,0.06475901171279322
Jun,2000,0.07055660101878589
