Date,Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other,
Jan-1991,1730,13650,28790,108880,2610,9860,11900,
Feb-1991,3670,18300,35250,109100,1670,10890,11690,
Mar-1991,1990,18610,40060,111670,1650,3690,11510,
Apr-1991,2140,20880,33930,96700,2650,4190,7520,
May-1991,2870,17810,30210,96510,2550,2830,8630,
Jun-1991,10450,18670,33680,97410,2080,3270,6670,
Jul-1991,3620,18060,39170,129350,2170,7380,8560,
Aug-1991,2460,18610,35630,127160,2240,3860,9330,
Sep-1991,3640,17840,38130,123140,2570,4000,8040,
Oct-1991,3290,22610,38820,136330,2590,3510,8810,
Nov-1991,4620,23480,45180,136520,2310,1990,9770,
Dec-1991,2290,13340,75080,162720,1860,1970,9500,
Jan-1992,1410,13860,32630,124450,2980,10020,10740,
Feb-1992,2360,22290,39510,148630,1900,13500,10050,
Mar-1992,3360,24100,39050,135750,2300,3060,10170,
Apr-1992,2520,18870,42540,122370,2090,4700,10740,
May-1992,2900,21880,30100,105150,1860,2610,10730,
Jun-1992,1530,17690,31010,111350,1900,2920,10540,
Jul-1992,3300,18340,39860,131490,1900,10200,14170,
Aug-1992,2810,20020,31420,125830,1760,3280,13960,
Sep-1992,3840,19350,34520,116360,1410,2950,11580,
Oct-1992,3250,21970,40620,144770,1680,3930,13110,
Nov-1992,3380,25210,48770,160320,2150,1960,13250,
Dec-1992,1670,12750,79480,188940,1750,2200,15620,
Jan-1993,1640,15510,36730,160490,2460,10330,15600,
Feb-1993,3480,23230,39390,146830,2010,14870,15660,
Mar-1993,3160,25390,49020,160410,1910,2850,15210,
Apr-1993,4360,20920,42350,138750,1750,4360,13830,
May-1993,11050,22440,33620,129280,1560,2680,12770,
Jun-1993,2450,19480,32950,131770,1520,3330,13080,
Jul-1993,4330,20360,41290,148930,2160,12790,14760,
Aug-1993,2040,23100,38950,154880,2030,3720,15220,
Sep-1993,7000,22510,38880,134740,2320,3660,14920,
Oct-1993,4030,28240,43260,174330,2230,5400,9740,
Nov-1993,4420,31000,49190,185390,2060,2510,11340,
Dec-1993,2240,16200,84910,224360,2020,2220,12090,
Jan-1994,1620,19840,42230,158410,3570,13140,11710,
Feb-1994,3950,29110,43600,197140,2580,16600,11290,
Mar-1994,5890,31010,53810,198130,2410,3800,12350,
Apr-1994,5230,28060,41990,159660,3050,6600,10530,
May-1994,2860,28760,31860,136890,2100,3460,9020,
Jun-1994,3070,25870,38460,148020,1910,4570,9030,
Jul-1994,5000,27410,44460,176030,2850,15380,11390,
Aug-1994,3360,26680,36590,180890,2610,3930,11370,
Sep-1994,10960,25610,47920,147650,1380,4420,16040,
Oct-1994,10820,29750,55660,180590,1710,6380,16690,
Nov-1994,8750,32010,61950,188450,1500,2640,15690,
Dec-1994,3420,17810,106480,237110,1350,2460,15370,
Jan-1995,3070,21130,54810,189210,2350,12350,20830,
Feb-1995,8600,29090,54960,185790,1570,20420,18620,
Mar-1995,7560,33620,56270,193960,1890,4210,16030,
Apr-1995,5580,26840,62810,175430,1880,6800,14820,
May-1995,6780,29940,38070,150620,1670,3800,13940,
Jun-1995,6590,25270,48130,157310,1900,5780,16460,
Jul-1995,9530,33720,53370,193710,1860,19620,17920,
Aug-1995,7870,40360,44810,190720,1660,4550,14940,
