year,name,count
1991,New Zealand,480580
1991,New Caledonia,15210
1991,Papua New Guinea,35180
1991,Vanuatu,2600
1991,Fiji,16770
1991,United Kingdom,263740
1991,Ireland,9590
1991,Austria,10280
1991,Belgium,4090
1991,France,22680
1991,Germany,77700
1991,Netherlands,21360
1991,Switzerland,29570
1991,Denmark,9850
1991,Finland,5740
1991,Norway,4080
1991,Sweden,19140
1991,Italy,24340
1991,Spain,3970
1991,Poland,2160
1991,Russia,0
1991,Iran,1270
1991,Israel,4840
1991,Saudi Arabia,2010
1991,United Arab Emirates,1150
1991,Cambodia,20
1991,Thailand,24690
1991,Vietnam,2940
1991,Indonesia,36990
1991,Malaysia,48030
1991,Philippines,15740
1991,Singapore,87460
1991,China,16420
1991,Hong Kong,62780
1991,Taiwan,34730
1991,Japan,528570
1991,South Korea,23610
1991,Bangladesh,630
1991,India,9780
1991,Nepal,450
1991,Pakistan,1300
1991,Sri Lanka,4080
1991,Canada,53410
1991,United States of America,271750
1991,Argentina,2640
1991,Brazil,2490
1991,Chile,1290
1991,Colombia,540
1991,Mexico,1540
1991,South Africa,9240
1992,New Zealand,447540
1992,New Caledonia,17970
1992,Papua New Guinea,36960
1992,Vanuatu,3230
1992,Fiji,16340
1992,United Kingdom,289910
1992,Ireland,8720
1992,Austria,10800
1992,Belgium,4240
1992,France,25350
1992,Germany,89890
1992,Netherlands,23550
1992,Switzerland,29010
1992,Denmark,10360
1992,Finland,5070
1992,Norway,4450
1992,Sweden,19120
1992,Italy,27420
1992,Spain,4900
1992,Poland,2020
1992,Russia,40
1992,Iran,1240
1992,Israel,4660
1992,Saudi Arabia,2570
1992,United Arab Emirates,1840
1992,Cambodia,230
1992,Thailand,33560
1992,Vietnam,4750
1992,Indonesia,45850
1992,Malaysia,60350
1992,Philippines,16110
1992,Singapore,116810
1992,China,18680
1992,Hong Kong,74740
1992,Taiwan,63470
1992,Japan,629930
1992,South Korea,33570
1992,Bangladesh,510
1992,India,9600
1992,Nepal,320
1992,Pakistan,1610
1992,Sri Lanka,3830
1992,Canada,48930
1992,United States of America,262850
1992,Argentina,3100
1992,Brazil,2480
1992,Chile,1440
1992,Colombia,500
1992,Mexico,1940
1992,South Africa,15260
1993,New Zealand,499270
1993,New Caledonia,18390
1993,Papua New Guinea,40430
1993,Vanuatu,3220
1993,Fiji,17310
1993,United Kingdom,310280
1993,Ireland,11020
1993,Austria,13150
1993,Belgium,5320
1993,France,31000
1993,Germany,105590
1993,Netherlands,27490
1993,Switzerland,30550
1993,Denmark,11580
1993,Finland,4710
1993,Norway,4640
1993,Sweden,17600
1993,Italy,31630
1993,Spain,5450
1993,Poland,2410
1993,Russia,540
1993,Iran,1120
1993,Israel,5510
1993,Saudi Arabia,3410
1993,United Arab Emirates,1950
1993,Cambodia,510
1993,Thailand,46450
1993,Vietnam,3320
1993,Indonesia,71550
1993,Malaysia,80400
1993,Philippines,17920
1993,Singapore,154900
1993,China,22270
1993,Hong Kong,92010
1993,Taiwan,108720
1993,Japan,670820
1993,South Korea,62020
1993,Bangladesh,700
1993,India,9770
1993,Nepal,340
1993,Pakistan,1390
1993,Sri Lanka,3630
1993,Canada,50530
1993,United States of America,281270
1993,Argentina,3870
1993,Brazil,2670
1993,Chile,1580
1993,Colombia,570
1993,Mexico,2070
1993,South Africa,26420
1994,New Zealand,480350
1994,New Caledonia,20210
1994,Papua New Guinea,41930
1994,Vanuatu,3950
1994,Fiji,19490
1994,United Kingdom,335310
1994,Ireland,15160
1994,Austria,15520
1994,Belgium,7000
1994,France,34520
1994,Germany,122690
1994,Netherlands,30920
1994,Switzerland,36360
1994,Denmark,14650
1994,Finland,5540
1994,Norway,5770
1994,Sweden,20170
1994,Italy,36690
1994,Spain,6860
1994,Poland,3160
1994,Russia,2750
1994,Iran,1300
