year,Slope,sx1,sy1,sx2,sy2
2005,1214.383179,0,0,4400000,5343285989
2006,1347.83989,0,0,4400000,5930495518
2007,1393.332607,0,0,4400000,6130663470
2008,1537.98306,0,0,4400000,6767125464
2009,1623.442328,0,0,4400000,7143146242
2010,1679.152765,0,0,4400000,7388272167
2011,1733.330521,0,0,4400000,7626654291
2012,1785.227101,0,0,4400000,7854999246
2013,1723.158259,0,0,4400000,7581896338
2014,1716.125927,0,0,4400000,7550954079
2015,1867.270328,0,0,4400000,8215989443
2016,1804.804966,0,0,4400000,7941141850
2017,1885.406025,0,0,4400000,8295786511
2018,2019.439354,0,0,4400000,8885533158
2019,1951.533874,0,0,4400000,8586749046
2020,2463.115045,0,0,4400000,10837706196
