year,count
1976,531800
1977,563290
1978,630600
1979,793360
1980,904560
1981,936730
1982,954670
1983,943870
1984,1015090
1985,1142560
1986,1429380
1987,1784880
1988,2249280
1989,2080280
1990,2214910
1991,2370350
1992,2603250
1993,2996230
1994,3361730
1995,3725820
1996,4164830
1997,4317880
1998,4167210
1999,4459520
2000,4931360
2001,4855740
2002,4841200
2003,4745850
2004,5199510
2005,5462830
2006,5493120
2007,5613380
2008,5574650
2009,5557360
2010,5871560
2011,5872310
2012,6167110
2013,6481700
2014,6922350
2015,7449780
2016,8269340
2017,8815300
2018,9245620
2019,9465900
2020,1827720
